MUSEUM,MATCHADDRESS,LATITUDE,LONGITUDE,ID,mus_point,region_id,capacity,lat,lon,num_bikes_available,status,stat_point,Station_Name,closest,approx_distance_miles
African American Civil War Memorial Museum,1925 VERMONT AVENUE NW,38.91643609,-77.02536383,310615,POINT(-77.02536383 38.91643609),42,15,38.9155,-77.0222,4,active,POINT(-77.0222 38.9155),7th & T St NW,true,0.18200678451670815
African American Civil War Memorial Museum,1925 VERMONT AVENUE NW,38.91643609,-77.02536383,310615,POINT(-77.02536383 38.91643609),42,15,38.9172,-77.0259,13,active,POINT(-77.0259 38.9172),10th & U St NW,true,0.06015156780018513
African American Civil War Memorial Museum,1925 VERMONT AVENUE NW,38.91643609,-77.02536383,310615,POINT(-77.02536383 38.91643609),42,31,38.916787,-77.028139,8,active,POINT(-77.028139 38.916787),12th & U St NW,true,0.1511797173647359
America's Islamic Heritage Museum,2315 MARTIN LUTHER KING JR AVENUE SE,38.86324023,-76.99188292,147815,POINT(-76.99188292 38.86324023),42,11,38.863897,-76.990037,7,active,POINT(-76.990037 38.863897),Pleasant St & MLK Ave SE,true,0.10920869311355064
America's Islamic Heritage Museum,2315 MARTIN LUTHER KING JR AVENUE SE,38.86324023,-76.99188292,147815,POINT(-76.99188292 38.86324023),42,11,38.862669,-76.994637,4,active,POINT(-76.994637 38.862669),Anacostia Metro,true,0.1533675876186841
American Poetry Museum,716 MONROE STREET NE,38.93283333,-76.99500622,309744,POINT(-76.99500622 38.93283333),42,11,38.9346,-76.9955,6,active,POINT(-76.9955 38.9346),John McCormack Dr & Michigan Ave NE,true,0.12494362883235174
American Poetry Museum,716 MONROE STREET NE,38.93283333,-76.99500622,309744,POINT(-76.99500622 38.93283333),42,15,38.932514,-76.992889,6,active,POINT(-76.992889 38.932514),10th & Monroe St NE,true,0.11593768999695793
American Red Cross Museum,430 17TH STREET NW,38.89481909,-77.04020477,300987,POINT(-77.04020477 38.89481909),42,11,38.8952,-77.0436,8,active,POINT(-77.0436 38.8952),19th & E Street NW,true,0.18450595929740193
American Red Cross Museum,430 17TH STREET NW,38.89481909,-77.04020477,300987,POINT(-77.04020477 38.89481909),42,19,38.893511,-77.041544,11,active,POINT(-77.041544 38.893511),18th & C St NW,true,0.11558966256371679
American University Museum at the Katzen Arts Center,3500 NEBRASKA AVENUE NW,38.939092,-77.086851,223996,POINT(-77.086851 38.939092),42,15,38.938736,-77.087171,0,active,POINT(-77.087171 38.938736),Ward Circle / American University,true,0.030019369717967495
Anacostia Community Museum,1901 FORT PLACE SE,38.85657522,-76.9767824,286524,POINT(-76.9767824 38.85657522),42,19,38.85736903758752,-76.97768801437633,2,active,POINT(-76.9776880143763 38.8573690375875),Fort Stanton Rec Center,true,0.07338089459793425
