MUSEUM,MATCHADDRESS,LATITUDE,LONGITUDE,ID,status,stat_point,Station_Name,approx_distance_miles
African American Civil War Memorial Museum,1925 VERMONT AVENUE NW,38.91643609,-77.02536383,310615,active,POINT(-77.0222 38.9155),7th & T St NW,0.18200678451670815
African American Civil War Memorial Museum,1925 VERMONT AVENUE NW,38.91643609,-77.02536383,310615,active,POINT(-77.028139 38.916787),12th & U St NW,0.1511797173647359
African American Civil War Memorial Museum,1925 VERMONT AVENUE NW,38.91643609,-77.02536383,310615,active,POINT(-77.0259 38.9172),10th & U St NW,0.06015156780018513
America's Islamic Heritage Museum,2315 MARTIN LUTHER KING JR AVENUE SE,38.86324023,-76.99188292,147815,active,POINT(-76.990037 38.863897),Pleasant St & MLK Ave SE,0.10920869311355064
America's Islamic Heritage Museum,2315 MARTIN LUTHER KING JR AVENUE SE,38.86324023,-76.99188292,147815,active,POINT(-76.994637 38.862669),Anacostia Metro,0.1533675876186841
American Poetry Museum,716 MONROE STREET NE,38.93283333,-76.99500622,309744,active,POINT(-76.9955 38.9346),John McCormack Dr & Michigan Ave NE,0.12494362883235174
American Poetry Museum,716 MONROE STREET NE,38.93283333,-76.99500622,309744,active,POINT(-76.992889 38.932514),10th & Monroe St NE,0.11593768999695793
American Red Cross Museum,430 17TH STREET NW,38.89481909,-77.04020477,300987,active,POINT(-77.0436 38.8952),19th & E Street NW,0.18450595929740193
American Red Cross Museum,430 17TH STREET NW,38.89481909,-77.04020477,300987,active,POINT(-77.041544 38.893511),18th & C St NW,0.11558966256371679
American University Museum at the Katzen Arts Center,3500 NEBRASKA AVENUE NW,38.939092,-77.086851,223996,active,POINT(-77.087171 38.938736),Ward Circle / American University,0.030019369717967495
Anacostia Community Museum,1901 FORT PLACE SE,38.85657522,-76.9767824,286524,active,POINT(-76.9776880143763 38.8573690375875),Fort Stanton Rec Center,0.07338089459793425
Anderson House,2118 MASSACHUSETTS AVENUE NW,38.91071637,-77.04770288,293220,active,POINT(-77.04564 38.912644),Connecticut Ave & R St NW,0.17335404300005133
Anderson House,2118 MASSACHUSETTS AVENUE NW,38.91071637,-77.04770288,293220,active,POINT(-77.048728 38.909394),22nd & P ST NW,0.10672587495588627
Anderson House,2118 MASSACHUSETTS AVENUE NW,38.91071637,-77.04770288,293220,active,POINT(-77.0444 38.9101),Massachusetts Ave & Dupont Circle NW,0.18264915308015642
Armenian Genocide Museum and Memorial,1334 G STREET NW,38.89804146,-77.03108204,240658,active,POINT(-77.027869 38.898364),Metro Center / 12th & G St NW,0.1742428860651589
Armenian Genocide Museum and Memorial,1334 G STREET NW,38.89804146,-77.03108204,240658,active,POINT(-77.032278 38.898409),14th & G St NW,0.06915726063107164
Armenian Genocide Museum and Memorial,1334 G STREET NW,38.89804146,-77.03108204,240658,active,POINT(-77.0333540439606 38.8990323441632),New York Ave & 15th St NW,0.14007690578297294
Armenian Genocide Museum and Memorial,1334 G STREET NW,38.89804146,-77.03108204,240658,active,POINT(-77.031686 38.899632),14th St & New York Ave NW,0.11461863553233635
Armenian Genocide Museum and Memorial,1334 G STREET NW,38.89804146,-77.03108204,240658,active,POINT(-77.029822 38.900283),13th St & New York Ave NW,0.169084135515274
Armenian Genocide Museum and Memorial,1334 G STREET NW,38.89804146,-77.03108204,240658,active,POINT(-77.0333808660507 38.8964647474865),15th St & Pennsylvania Ave NW,0.16480465579951753
Art Museum of the Americas,201 18TH STREET NW,38.89279239,-77.0414716,294191,active,POINT(-77.0436 38.8923),19th St & Constitution Ave NW,0.11943383427872797
Art Museum of the Americas,201 18TH STREET NW,38.89279239,-77.0414716,294191,active,POINT(-77.041544 38.893511),18th & C St NW,0.04981429842325008
Arthur M. Sackler Gallery,1050 INDEPENDENCE AVENUE SW,38.88795359,-77.02644398,293191,active,POINT(-77.02858 38.888767),Smithsonian-National Mall / Jefferson Dr & 12th St SW,0.1279141485707702
Arthur M. Sackler Gallery,1050 INDEPENDENCE AVENUE SW,38.88795359,-77.02644398,293191,active,POINT(-77.025762 38.887312),Independence Ave & L'Enfant Plaza SW/DOE,0.05754798509950263
Arthur M. Sackler Gallery,1050 INDEPENDENCE AVENUE SW,38.88795359,-77.02644398,293191,active,POINT(-77.0282417535782 38.8862769450651),USDA / 12th & C St SW,0.150924207209402
Charles Sumner School,1201 17TH STREET NW,38.90596805,-77.03823126,301200,active,POINT(-77.0398020744324 38.9059956999911),Rhode Island & Connecticut Ave NW,0.08449758298928527
Charles Sumner School,1201 17TH STREET NW,38.90596805,-77.03823126,301200,active,POINT(-77.038359 38.908142),17th St & Massachusetts Ave NW,0.15039475305981356
