station_id,Station_Name,num_bikes_available,num_docks_available,num_ebikes_available,capacity,station_lat,station_lon,last_updated_date
1,Eads St & 15th St S,14,1,0,15,38.858971000000004,-77.05323,2020-07-22 03:48:40
2,18th St & S Eads St,9,2,0,11,38.85725,-77.05332,2020-07-22 03:48:40
3,Crystal Dr & 20th St S,10,4,0,17,38.856425,-77.04923199999999,2020-07-22 03:48:40
4,Crystal Dr & 15th St S,9,2,0,11,38.860170000000004,-77.049593,2020-07-22 03:48:40
5,Aurora Hills Cmty Ctr / 18th St & S Hayes St,8,3,0,11,38.857865999999994,-77.05949,2020-07-22 03:48:40
6,Pentagon City Metro / 12th St & S Hayes St,16,3,0,19,38.862303000000004,-77.059936,2020-07-22 03:48:40
7,Army Navy Dr & S Joyce St,11,4,0,15,38.8637,-77.0633,2020-07-22 03:48:40
8,Crystal City Metro / 18th St & S Bell St,4,15,0,19,38.857404962615036,-77.05113172531128,2020-07-22 03:48:40
10,Crystal Dr & 27th St S,5,5,0,11,38.848465999999995,-77.051514,2020-07-22 03:48:40
11,S Glebe Rd & Potomac Ave,5,6,0,11,38.8426,-77.0502,2020-07-22 03:48:40
12,Crystal Dr & 23rd St S,1,16,0,17,38.8533,-77.0498,2020-07-22 03:48:40
13,Clark St & 26th St S,8,3,0,11,38.850688,-77.05152,2020-07-22 03:48:40
14,19th St & Pennsylvania Ave NW,3,10,0,15,38.9003,-77.0429,2020-07-22 03:48:40
15,14th & V St NW,14,17,0,31,38.917931,-77.032112,2020-07-22 03:48:40
16,11th & Kenyon St NW,8,17,1,27,38.929464,-77.027822,2020-07-22 03:48:40
17,16th & Harvard St NW,32,1,1,33,38.926088,-77.036536,2020-07-22 03:48:40
18,Adams Mill & Columbia Rd NW,12,3,0,15,38.922925,-77.04258100000001,2020-07-22 03:48:40
19,14th & Harvard St NW,10,9,0,19,38.9268,-77.0322,2020-07-22 03:48:40
20,Calvert & Biltmore St NW,3,20,0,23,38.923203,-77.047637,2020-07-22 03:48:40
21,Lamont & Mt Pleasant NW,14,4,0,19,38.9319,-77.0388,2020-07-22 03:48:40
22,4th & M St SW,22,1,0,23,38.8767,-77.0178,2020-07-22 03:48:40
23,15th & P St NW,12,7,0,19,38.90985,-77.034438,2020-07-22 03:48:40
24,14th & R St NW,10,9,0,19,38.913046,-77.03200799999999,2020-07-22 03:48:40
25,14th & Rhode Island Ave NW,9,14,0,23,38.9086,-77.0323,2020-07-22 03:48:40
26,20th & E St NW,5,10,0,15,38.8963,-77.045,2020-07-22 03:48:40
27,21st & I St NW,14,21,0,35,38.90071062547464,-77.04644858837128,2020-07-22 03:48:40
28,Georgia & New Hampshire Ave NW,0,17,0,19,38.9366839345886,-77.02418088912964,2020-07-22 03:48:40
29,14th St & Spring Rd NW,17,2,1,19,38.9375,-77.0328,2020-07-22 03:48:40
30,John McCormack Dr & Michigan Ave NE,3,8,0,11,38.9346,-76.9955,2020-07-22 03:48:40
31,5th & K St NW,17,0,0,19,38.903040000000004,-77.01902700000001,2020-07-22 03:48:40
32,19th & East Capitol St SE,6,7,0,15,38.8896,-76.9769,2020-07-22 03:48:40
33,Park Rd & Holmead Pl NW,6,13,0,19,38.9308,-77.0315,2020-07-22 03:48:40
34,Good Hope & Naylor Rd SE,0,11,0,11,38.86005647007575,-76.96783974766731,2020-07-22 03:48:40
