,station_id,name,rental_methods,lat,lon,capacity,region_id,station_type
0,1,Eads St & 15th St S,"['KEY', 'CREDITCARD']",38.858971,-77.05323,15,41,classic
1,2,18th St & S Eads St,"['KEY', 'CREDITCARD']",38.85725,-77.05332,11,41,classic
2,3,Crystal Dr & 20th St S,"['KEY', 'CREDITCARD']",38.856425,-77.049232,17,41,classic
3,4,Crystal Dr & 15th St S,"['KEY', 'CREDITCARD']",38.86017,-77.049593,11,41,classic
4,5,Aurora Hills Cmty Ctr / 18th St & S Hayes St,"['KEY', 'CREDITCARD']",38.857866,-77.05949,11,41,classic
5,6,Pentagon City Metro / 12th St & S Hayes St,"['KEY', 'CREDITCARD']",38.862303,-77.059936,19,41,classic
6,7,Army Navy Dr & S Joyce St,"['KEY', 'CREDITCARD']",38.8637,-77.0633,15,41,classic
7,8,Crystal City Metro / 18th St & S Bell St,"['KEY', 'CREDITCARD']",38.85740496261504,-77.05113172531128,19,41,classic
8,10,Crystal Dr & 27th St S,"['KEY', 'CREDITCARD']",38.848466,-77.051514,11,41,classic
9,11,S Glebe Rd & Potomac Ave,"['KEY', 'CREDITCARD']",38.8426,-77.0502,11,41,classic
10,12,Crystal Dr & 23rd St S,"['KEY', 'CREDITCARD']",38.8533,-77.0498,17,41,classic
11,13,Clark St & 26th St S,"['KEY', 'CREDITCARD']",38.850688,-77.05152,11,41,classic
12,14,19th St & Pennsylvania Ave NW,"['KEY', 'CREDITCARD']",38.9003,-77.0429,15,42,classic
13,15,14th & V St NW,"['KEY', 'CREDITCARD']",38.917931,-77.032112,31,42,classic
14,16,11th & Kenyon St NW,"['KEY', 'CREDITCARD']",38.929464,-77.027822,27,42,classic
15,17,16th & Harvard St NW,"['KEY', 'CREDITCARD']",38.926088,-77.036536,33,42,classic
16,18,Adams Mill & Columbia Rd NW,"['KEY', 'CREDITCARD']",38.922925,-77.042581,15,42,classic
17,19,14th & Harvard St NW,"['KEY', 'CREDITCARD']",38.9268,-77.0322,19,42,classic
18,20,Calvert & Biltmore St NW,"['KEY', 'CREDITCARD']",38.923203,-77.047637,23,42,classic
19,21,Lamont & Mt Pleasant NW,"['KEY', 'CREDITCARD']",38.9319,-77.0388,19,42,classic
20,22,4th & M St SW,"['KEY', 'CREDITCARD']",38.8767,-77.0178,23,42,classic
21,23,15th & P St NW,"['KEY', 'CREDITCARD']",38.90985,-77.034438,19,42,classic
22,24,14th & R St NW,"['KEY', 'CREDITCARD']",38.913046,-77.032008,19,42,classic
23,25,14th & Rhode Island Ave NW,"['KEY', 'CREDITCARD']",38.9086,-77.0323,23,42,classic
24,26,20th & E St NW,"['KEY', 'CREDITCARD']",38.8963,-77.045,15,42,classic
25,27,21st & I St NW,"['KEY', 'CREDITCARD']",38.90071062547463,-77.04644858837128,35,42,classic
26,28,Georgia & New Hampshire Ave NW,"['KEY', 'CREDITCARD']",38.9366839345886,-77.02418088912964,19,42,classic
27,29,14th St & Spring Rd NW,"['KEY', 'CREDITCARD']",38.9375,-77.0328,19,42,classic
28,30,John McCormack Dr & Michigan Ave NE,"['KEY', 'CREDITCARD']",38.9346,-76.9955,11,42,classic
29,31,5th & K St NW,"['KEY', 'CREDITCARD']",38.90304,-77.019027,19,42,classic
30,32,19th & East Capitol St SE,"['KEY', 'CREDITCARD']",38.8896,-76.9769,15,42,classic
31,33,Park Rd & Holmead Pl NW,"['KEY', 'CREDITCARD']",38.9308,-77.0315,19,42,classic
32,34,Good Hope & Naylor Rd SE,"['KEY', 'CREDITCARD']",38.86005647007575,-76.96783974766731,11,42,classic
33,35,Connecticut Ave & Newark St NW / Cleveland Park,"['KEY', 'CREDITCARD']",38.934267,-77.057979,11,42,classic
34,36,Randle Circle & Minnesota Ave SE,"['KEY', 'CREDITCARD']",38.878,-76.9607,11,42,classic
35,37,Minnesota Ave Metro/DOES,"['KEY', 'CREDITCARD']",38.897063,-76.947446,15,42,classic
36,38,Nannie Helen Burroughs & Minnesota Ave NE,"['KEY', 'CREDITCARD']",38.901385,-76.941877,11,42,classic
37,39,Anacostia Metro,"['KEY', 'CREDITCARD']",38.862669,-76.994637,11,42,classic
38,40,Good Hope Rd & MLK Ave SE,"['KEY', 'CREDITCARD']",38.867373,-76.988039,11,42,classic
39,41,19th & E Street NW,"['KEY', 'CREDITCARD']",38.8952,-77.0436,11,42,classic
40,42,4th & W St NE,"['KEY', 'CREDITCARD']",38.919077,-77.000648,15,42,classic
41,43,10th & U St NW,"['KEY', 'CREDITCARD']",38.9172,-77.0259,15,42,classic
