,X,Y,OBJECTID,NAME,ALT_NAME,LABEL,MAR_MATCHADDRESS,MAR_XCOORD,MAR_YCOORD,MAR_LONGITUDE,MAR_LATITUDE,MARID
0,-77.0090382891748,38.889801934412,1,EXHIBITION HALL AT THE U.S. CAPITOL VISITOR CENTER,U.S. CAPITOL VISITOR CENTER,U.S. Capitol Visitor Center,,399216.07,135772.41,-77.009036,38.88979448,294394
1,-77.0373556692128,38.905861827567705,2,THE WILDERNESS SOCIETY - ANSEL ADAMS COLLECTION,,The Wilderness Society - Ansel Adams Collection,1615 M STREET NW,396760.09,137555.81,-77.03735337,38.90585437,301103
2,-77.07011698937879,38.9063182559792,3,SPAGNUOLO ART GALLERY,GEORGETOWN UNIVERSITY,Spagnuolo Art Gallery,1221 36TH STREET NW,393918.52,137608.15,-77.07011468,38.90631079999999,300017
5,-77.04770517476071,38.9107238290149,6,ANDERSON HOUSE,THE SOCIETY OF THE CINCINNATI,Anderson House,2118 MASSACHUSETTS AVENUE NW,395862.69,138095.95,-77.04770288,38.91071637,293220
6,-77.0216959373764,38.8958679480166,7,CLARA BARTON MISSING SOLDIERS OFFICE MUSEUM,,Clara Barton Missing Soldiers Office Museum,437 7TH STREET NW,398118.1,136445.97,-77.02169365,38.8958605,279777
7,-77.042669375315,38.910937833055,8,WHITTEMORE HOUSE,WOMAN'S NATIONAL DEMOCRATIC CLUB,Whittemore House,1526 NEW HAMPSHIRE AVENUE NW,396299.46,138119.49,-77.04266708,38.91093038,225724
8,-76.9918851956247,38.8632476793523,9,AMERICA'S ISLAMIC HERITAGE MUSEUM,,America's Islamic Heritage Museum,2315 MARTIN LUTHER KING JR AVENUE SE,400704.47,132824.68,-76.99188292,38.86324023,147815
9,-77.0171400288656,38.8848382193996,10,MUSEUM OF THE BIBLE,,Museum of the Bible,400 4TH STREET SW,398513.09,135221.5,-77.017138,38.884831,311513
10,-77.0243323116015,38.93483190213411,11,"THE HISTORY OF CANNABIS MUSEUM
",The Cannabis Museum,The History of Cannabis  ,"3626 GEORGIA AVENUE NW
",397890.55,140771.35,-77.02433,38.934824,232148
11,-77.01090270356521,38.8958422489042,12,D.C. FIRE AND EMS MUSEUM,,D.C. Fire and EMS Museum,439 NEW JERSEY AVENUE NW,399054.4,136442.95,-77.0109,38.895835,237163
14,-77.03974273045759,38.8958544638219,15,CORCORAN GALLERY OF ART,CORCORAN MUSEUM AND COLLEGE OF ART + DESIGN,Corcoran Gallery of Art,500 17TH STREET NW,396552.56,136445.0,-77.03974044,38.89584701,279802
15,-77.04641713295979,38.8988029627639,16,THE TEXTILE MUSUEM,,The Textile Museum,701 21ST STREET NW,395973.73,136772.58,-77.04641484,38.89879551,311648
16,-77.0516878730769,38.9599249441213,17,ROCK CREEK PARK NATURE CENTER AND PLANETARIUM,,Rock Creek Park Nature Center and Planetarium,5200 GLOVER ROAD NW,395520.36,143557.89,-77.05168557,38.95991748,308551
17,-77.029163689541,38.9000564726818,18,NATIONAL MUSEUM OF WOMEN IN THE ARTS,,National Museum of Women in the Arts,1250 NEW YORK AVENUE NW,397470.43,136911.11,-77.02916139,38.90004902,279010
18,-77.0446061992316,38.9080302065099,19,HEURICH HOUSE MUSEUM,THE BREWMASTER'S CASTLE,Heurich House Museum,1307 NEW HAMPSHIRE AVENUE NW,396131.32,137796.8,-77.04460391,38.90802275,241060
19,-77.03823356490071,38.9059754992072,20,CHARLES SUMNER SCHOOL,,Charles Sumner School,1201 17TH STREET NW,396683.95,137568.46,-77.03823126,38.90596805,301200
21,-77.0421157747729,38.9128205972103,22,NATIONAL MUSEUM OF AMERICAN JEWISH MILITARY HISTORY,,National Museum of American Jewish Military History,1811 R STREET NW,396347.57,138328.47,-77.04211348,38.91281314,243292
22,-77.02297439016449,38.8981884386407,23,DONALD W. REYNOLDS CENTER FOR AMERICAN ART AND PORTRAITURE,NATIONAL PORTRAIT GALLERY,National Portrait Gallery,,398007.26,136703.59,-77.022972,38.898181,294248
24,-77.043735840095,38.914595996036894,25,L. RON HUBBARD HOUSE,L. RON HUBBARD HOUSE,L. Ron Hubbard House,1812 19TH STREET NW,396207.16,138525.62,-77.04373354,38.91458854,240991
25,-77.02297439016449,38.8981884386407,26,DONALD W. REYNOLDS CENTER FOR AMERICAN ART AND PORTRAITURE,SMITHSONIAN AMERICAN ART MUSEUM,Smithsonian American Art Museum,,398007.26,136703.59,-77.022972,38.898181,294248
26,-77.0253661260672,38.916443542607006,27,AFRICAN AMERICAN CIVIL WAR MEMORIAL MUSEUM,,African American Civil War Memorial Museum,1925 VERMONT AVENUE NW,397800.35,138730.11,-77.02536383,38.91643609,310615
28,-77.0414738875654,38.8927998442915,29,ART MUSEUM OF THE AMERICAS,,Art Museum of the Americas,201 18TH STREET NW,396402.23,136105.98,-77.0414716,38.89279239,294191
29,-77.0259902482823,38.8888161278704,30,SMITHSONIAN INSTITUTION - CASTLE,SMITHSONIAN CASTLE,Smithsonian Castle,1000 JEFFERSON DRIVE SW,397745.35,135663.26,-77.02598796,38.88880868,293187
31,-77.046388736277,38.899817315669104,32,LUTHER W. BRADY ART GALLERY,GEORGE WASHINGTON UNIVERISTY LUTHER W. BRADY ART GALLERY,Luther W. Brady Art Gallery,805 21ST STREET NW,395976.25,136885.18,-77.04638644,38.89980986,240947
33,-77.016618008867,38.8912138853973,34,NATIONAL GALLERY OF ART - EAST BUILDING,,National Gallery of Art - East Building,,398558.51,135929.24,-77.016616,38.891206,293209
35,-77.03415914996671,38.908363703885996,36,U.S. DAUGHTERS OF 1812 LIBRARY AND MUSEUM,,U.S. Daughters of 1812 Library and Museum,1463 RHODE ISLAND AVENUE NW,397037.45,137833.43,-77.03415685,38.90835625,240224
39,-77.0223822955259,38.8944459376541,40,NAVAL HERITAGE CENTER,NAVAL HERITAGE CENTER,Naval Heritage Center,701 PENNSYLVANIA AVENUE NW,398058.52,136288.13,-77.02238001,38.89443849,279889
40,-77.0381989023592,38.9000337789522,41,DECATUR HOUSE MUSEUM,,Decatur House Museum,748 JACKSON PLACE NW,396686.68,136908.88,-77.03819661,38.90002633,293257
41,-77.0459274810478,38.9083910194175,42,O STREET MUSEUM FOUNDATION,O STREET MUSEUM,O Street Museum,2020 O STREET NW,396016.74,137836.91,-77.04592519,38.90838357,243057
42,-77.004667103511,38.9377665436672,43,THE SAINT JOHN PAUL II NATIONAL SHRINE,,The Saint John Paul II National Shrine,3900 HAREWOOD ROAD NE,399595.57,141096.85,-77.00466482,38.93775908,288031
43,-76.9950085085725,38.932840791103395,44,AMERICAN POETRY MUSEUM,,American Poetry Museum,716 MONROE STREET NE,400432.98,140550.05,-76.99500622,38.93283333,309744
44,-76.96989266812069,38.9124105566907,45,THE NATIONAL BONSAI AND PENJING MUSEUM,,The National Bonsai and Penjing Museum,3501 NEW YORK AVENUE NE,402611.37,138282.54,-76.96989039,38.9124031,293238
45,-76.995306316944,38.873042891617395,46,NATIONAL MUSEUM OF UNITED STATES NAVY,,National Museum of United States Navy,736 SICARD STREET SE,400407.5,133912.0,-76.99530404,38.87303544,311896
46,-77.03108432435,38.898048914266795,47,ARMENIAN GENOCIDE MUSEUM AND MEMORIAL,,Armenian Genocide Museum and Memorial,1334 G STREET NW,397303.75,136688.31,-77.03108204,38.89804146,240658
47,-77.0355066026174,38.9324381472625,48,POWHATAN MUSEUM,,Powhatan Museum,1519 MONROE STREET NW,396921.62,140505.94,-77.0355043,38.93243069,234557
48,-77.08685306296229,38.939099665114796,49,AMERICAN UNIVERSITY MUSEUM AT THE KATZEN ARTS CENTER,AMERICAN UNIVERSITY MUSEUM,American University Museum at the Katzen Arts Center, 3500 NEBRASKA AVENUE NW,392470.36,141248.41,-77.086851,38.939091999999995,223996
50,-77.0517060293147,38.9138615340225,51,WOODROW WILSON HOUSE,,Woodrow Wilson House,2340 S STREET NW,395515.89,138444.45,-77.05170373,38.91385408,218994
52,-77.00375844974609,38.8921946678767,53,SEWALL-BELMONT,SEWALL-BELMONT HOUSE AND MUSEUM,Sewall-Belmont,144 CONSTITUTION AVENUE NE,399674.14,136037.99,-77.00375617,38.89218722,286201
54,-77.03909034859879,38.899138323140996,55,RENWICK GALLERY,,Renwick Gallery,1661 PENNSYLVANIA AVENUE NW,396609.31,136809.51,-77.03908805,38.89913087,294185
55,-77.01663185498471,38.8882828278549,56,NATIONAL MUSEUM OF THE AMERICAN INDIAN,,National Museum of the American Indian,NATIONAL MUSEUM OF THE AMERICAN INDIAN,398557.25,135603.87,-77.01662957,38.88827538,294429
56,-77.00819123936459,38.89814635994001,57,NATIONAL POSTAL MUSEUM,,National Postal Museum,2 MASSACHUSETTS AVENUE NE,399289.64,136698.7,-77.00818895,38.89813891,293217
