,museum,address,longitude,latitude,ID,mus_point,station_id,name,region_id,capacity_x,lat,lon,station_status___1_,stat_point,closest,approx_distance_miles,Station_Name,num_bikes_available,num_docks_available,num_ebikes_available,capacity_y,station_lat,station_lon,last_updated_date,avlb_bikes,avlb_docks
0,African American Civil War Memorial Museum,1925 VERMONT AVENUE NW,-77.02536383,38.91643609,310615,POINT(-77.02536383 38.91643609),43,10th & U St NW,42.0,15,38.9172,-77.0259,active,POINT(-77.0259 38.9172),True,0.06015156780018512,10th & U St NW,3,10,0,15,38.9172,-77.0259,2020-08-17 09:03:05,True,True
1,African American Civil War Memorial Museum,1925 VERMONT AVENUE NW,-77.02536383,38.91643609,310615,POINT(-77.02536383 38.91643609),242,12th & U St NW,42.0,31,38.916787,-77.028139,active,POINT(-77.028139 38.916787),True,0.1511797173647359,12th & U St NW,13,18,2,31,38.916787,-77.028139,2020-08-17 09:03:05,True,True
2,African American Civil War Memorial Museum,1925 VERMONT AVENUE NW,-77.02536383,38.91643609,310615,POINT(-77.02536383 38.91643609),47,7th & T St NW,42.0,15,38.9155,-77.0222,active,POINT(-77.0222 38.9155),True,0.18200678451670813,7th & T St NW,3,12,0,15,38.9155,-77.0222,2020-08-17 09:03:05,True,True
3,African American Civil War Memorial Museum,1925 VERMONT AVENUE NW,-77.02536383,38.91643609,310615,POINT(-77.02536383 38.91643609),367,11th & S St NW,42.0,23,38.913761,-77.027025,active,POINT(-77.027025 38.913761),True,0.20531898107185756,11th & S St NW,20,3,1,23,38.913761,-77.027025,2020-08-17 09:03:05,True,True
4,African American Civil War Memorial Museum,1925 VERMONT AVENUE NW,-77.02536383,38.91643609,310615,POINT(-77.02536383 38.91643609),587,7th & S St NW,42.0,19,38.914204318729794,-77.0221745967865,active,POINT(-77.0221745967865 38.9142043187298),True,0.2306440450587092,7th & S St NW,10,7,0,19,38.91420431872979,-77.0221745967865,2020-08-17 09:03:05,True,True
5,America's Islamic Heritage Museum,2315 MARTIN LUTHER KING JR AVENUE SE,-76.99188292,38.86324023,147815,POINT(-76.99188292 38.86324023),240,Pleasant St & MLK Ave SE,42.0,11,38.863896999999994,-76.990037,active,POINT(-76.990037 38.863897),True,0.10920869311355064,Pleasant St & MLK Ave SE,5,6,0,11,38.863897,-76.990037,2020-08-17 09:03:05,True,True
6,Frederick Douglass National Historic Site,1411 W STREET SE,-76.98517717,38.863382,293207,POINT(-76.98517717 38.863382),240,Pleasant St & MLK Ave SE,42.0,11,38.863896999999994,-76.990037,active,POINT(-76.990037 38.863897),True,0.26392074517488373,Pleasant St & MLK Ave SE,5,6,0,11,38.863897,-76.990037,2020-08-17 09:03:05,True,True
7,America's Islamic Heritage Museum,2315 MARTIN LUTHER KING JR AVENUE SE,-76.99188292,38.86324023,147815,POINT(-76.99188292 38.86324023),39,Anacostia Metro,42.0,11,38.862669,-76.994637,active,POINT(-76.994637 38.862669),True,0.1533675876186841,Anacostia Metro,5,5,0,11,38.862669,-76.994637,2020-08-17 09:03:05,True,True
8,Frederick Douglass National Historic Site,1411 W STREET SE,-76.98517717,38.863382,293207,POINT(-76.98517717 38.863382),39,Anacostia Metro,42.0,11,38.862669,-76.994637,active,POINT(-76.994637 38.862669),True,0.5114219835653966,Anacostia Metro,5,5,0,11,38.862669,-76.994637,2020-08-17 09:03:05,True,True
9,America's Islamic Heritage Museum,2315 MARTIN LUTHER KING JR AVENUE SE,-76.99188292,38.86324023,147815,POINT(-76.99188292 38.86324023),40,Good Hope Rd & MLK Ave SE,42.0,11,38.867373,-76.988039,active,POINT(-76.988039 38.867373),True,0.3526389966698967,Good Hope Rd & MLK Ave SE,7,4,0,11,38.867373,-76.988039,2020-08-17 09:03:05,True,True
