museums/name,museums/address,museums/longitude,museums/latitude,museums/phone_number,museums/opening_hours/open_now,museums/opening_hours/periods/0/close/day,museums/opening_hours/periods/0/close/time,museums/opening_hours/periods/0/open/day,museums/opening_hours/periods/0/open/time,museums/opening_hours/periods/1/close/day,museums/opening_hours/periods/1/close/time,museums/opening_hours/periods/1/open/day,museums/opening_hours/periods/1/open/time,museums/opening_hours/periods/2/close/day,museums/opening_hours/periods/2/close/time,museums/opening_hours/periods/2/open/day,museums/opening_hours/periods/2/open/time,museums/opening_hours/periods/3/close/day,museums/opening_hours/periods/3/close/time,museums/opening_hours/periods/3/open/day,museums/opening_hours/periods/3/open/time,museums/opening_hours/periods/4/close/day,museums/opening_hours/periods/4/close/time,museums/opening_hours/periods/4/open/day,museums/opening_hours/periods/4/open/time,museums/opening_hours/periods/5/close/day,museums/opening_hours/periods/5/close/time,museums/opening_hours/periods/5/open/day,museums/opening_hours/periods/5/open/time,museums/opening_hours/weekday_text/0,museums/opening_hours/weekday_text/1,museums/opening_hours/weekday_text/2,museums/opening_hours/weekday_text/3,museums/opening_hours/weekday_text/4,museums/opening_hours/weekday_text/5,museums/opening_hours/weekday_text/6,museums/rating,museums/website,museums/permanently_closed,museums/opening_hours/periods/6/close/day,museums/opening_hours/periods/6/close/time,museums/opening_hours/periods/6/open/day,museums/opening_hours/periods/6/open/time
EXHIBITION HALL AT THE U.S. CAPITOL VISITOR CENTER,,-77.009036,38.88979448,+1 202-226-8000,true,1,1630,1,0830,2,1630,2,0830,3,1630,3,0830,4,1630,4,0830,5,1630,5,0830,6,1630,6,0830,Monday: 8:30 AM – 4:30 PM,Tuesday: 8:30 AM – 4:30 PM,Wednesday: 8:30 AM – 4:30 PM,Thursday: 8:30 AM – 4:30 PM,Friday: 8:30 AM – 4:30 PM,Saturday: 8:30 AM – 4:30 PM,Sunday: Closed,4.7,http://www.visitthecapitol.gov/,,,,,
THE WILDERNESS SOCIETY - ANSEL ADAMS COLLECTION,1615 M STREET NW,-77.03735337,38.90585437,+1 202-833-2300,false,1,1600,1,1000,2,1600,2,1000,3,1600,3,1000,4,1600,4,1000,5,1400,5,1000,,,,,Monday: 10:00 AM – 4:00 PM,Tuesday: 10:00 AM – 4:00 PM,Wednesday: 10:00 AM – 4:00 PM,Thursday: 10:00 AM – 4:00 PM,Friday: 10:00 AM – 2:00 PM,Saturday: Closed,Sunday: Closed,5,http://wilderness.org/,,,,,
SPAGNUOLO ART GALLERY,1221 36TH STREET NW,-77.07011468,38.9063108,+1 202-687-7010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,https://delacruzgallery.georgetown.domains/,,,,,
NATIONAL ZOOLOGICAL PARK,3001 CONNECTICUT AVENUE NW,-77.05442859,38.93061121,+1 202-633-4888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,https://nationalzoo.si.edu/,true,,,,
UNITED STATES BOTANIC GARDEN,100 MARYLAND AVENUE SW,-77.01290115,38.8882481,+1 202-225-8333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,https://www.usbg.gov/,true,,,,
ANDERSON HOUSE,2118 MASSACHUSETTS AVENUE NW,-77.04770288,38.91071637,+1 202-785-2040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,https://www.societyofthecincinnati.org/anderson_house/history,,,,,
CLARA BARTON MISSING SOLDIERS OFFICE MUSEUM,437 7TH STREET NW,-77.02169365,38.8958605,+1 202-824-0613,false,4,1700,4,1100,5,1700,5,1100,6,1700,6,1100,,,,,,,,,,,,,Monday: Closed,Tuesday: Closed,Wednesday: Closed,Thursday: 11:00 AM – 5:00 PM,Friday: 11:00 AM – 5:00 PM,Saturday: 11:00 AM – 5:00 PM,Sunday: Closed,4.8,http://www.clarabartonmuseum.org/,,,,,
WHITTEMORE HOUSE,1526 NEW HAMPSHIRE AVENUE NW,-77.04266708,38.91093038,+1 202-232-7363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,http://thewhittemorehouse.com/,,,,,
AMERICA'S ISLAMIC HERITAGE MUSEUM,2315 MARTIN LUTHER KING JR AVENUE SE,-76.99188292,38.86324023,+1 202-610-0586,false,0,1600,0,1200,2,1700,2,1100,3,1700,3,1100,4,1700,4,1100,5,1700,5,1100,6,1700,6,1100,Monday: Closed,Tuesday: 11:00 AM – 5:00 PM,Wednesday: 11:00 AM – 5:00 PM,Thursday: 11:00 AM – 5:00 PM,Friday: 11:00 AM – 5:00 PM,Saturday: 11:00 AM – 5:00 PM,Sunday: 12:00 – 4:00 PM,4.6,http://www.muslimsinamerica.org/,,,,,
MUSEUM OF THE BIBLE,400 4TH STREET SW,-77.017138,38.884831,+1 866-430-6682,false,0,1700,0,1000,1,1700,1,1000,2,1700,2,1000,3,1700,3,1000,4,1700,4,1000,5,1700,5,1000,Monday: 10:00 AM – 5:00 PM,Tuesday: 10:00 AM – 5:00 PM,Wednesday: 10:00 AM – 5:00 PM,Thursday: 10:00 AM – 5:00 PM,Friday: 10:00 AM – 5:00 PM,Saturday: 10:00 AM – 5:00 PM,Sunday: 10:00 AM – 5:00 PM,4.7,http://www.museumofthebible.org/,,6,1700,6,1000
