,museum,address,longitude,latitude,ID,mus_point,station_id,name,region_id,capacity_x,lat,lon,station_status___1_,stat_point,Station_Name_x,closest,approx_distance_miles,Station_Name_y,num_bikes_available,num_docks_available,num_ebikes_available,capacity_y,station_lat,station_lon,last_updated_date,avlb_bikes,avlb_docks
0,Ford's Theatre,511 10TH STREET NW,-77.02579655,38.89658294,239829,POINT(-77.02579655 38.89658294),199,10th & E St NW,42.0,15,38.895914000000005,-77.026064,active,POINT(-77.026064 38.895914),10th & E St NW,True,0.04841561363159564,10th & E St NW,10,5,0,15,38.89591400000001,-77.026064,2020-08-18 12:55:50,True,True
1,Petersen House,516 10TH STREET NW,-77.02619882,38.89676807,239374,POINT(-77.02619882 38.89676807),199,10th & E St NW,42.0,15,38.895914000000005,-77.026064,active,POINT(-77.026064 38.895914),10th & E St NW,True,0.05946701698369919,10th & E St NW,10,5,0,15,38.89591400000001,-77.026064,2020-08-18 12:55:50,True,True
2,International Spy Museum,800 F STREET NW,-77.02328389,38.89697903,238378,POINT(-77.02328389 38.89697903),199,10th & E St NW,42.0,15,38.895914000000005,-77.026064,active,POINT(-77.026064 38.895914),10th & E St NW,True,0.16666298776701902,10th & E St NW,10,5,0,15,38.89591400000001,-77.026064,2020-08-18 12:55:50,True,True
3,Naval Heritage Center,701 PENNSYLVANIA AVENUE NW,-77.02238001,38.89443849,279889,POINT(-77.02238001 38.89443849),199,10th & E St NW,42.0,15,38.895914000000005,-77.026064,active,POINT(-77.026064 38.895914),10th & E St NW,True,0.22284759826371747,10th & E St NW,10,5,0,15,38.89591400000001,-77.026064,2020-08-18 12:55:50,True,True
4,National Portrait Gallery,,-77.022972,38.898181,294248,POINT(-77.022972 38.898181),199,10th & E St NW,42.0,15,38.895914000000005,-77.026064,active,POINT(-77.026064 38.895914),10th & E St NW,True,0.22847745277180795,10th & E St NW,10,5,0,15,38.89591400000001,-77.026064,2020-08-18 12:55:50,True,True
5,Smithsonian American Art Museum,,-77.022972,38.898181,294248,POINT(-77.022972 38.898181),199,10th & E St NW,42.0,15,38.895914000000005,-77.026064,active,POINT(-77.026064 38.895914),10th & E St NW,True,0.22847745277180795,10th & E St NW,10,5,0,15,38.89591400000001,-77.026064,2020-08-18 12:55:50,True,True
6,Clara Barton Missing Soldiers Office Museum,437 7TH STREET NW,-77.02169365,38.8958605,279777,POINT(-77.02169365 38.8958605),199,10th & E St NW,42.0,15,38.895914000000005,-77.026064,active,POINT(-77.026064 38.895914),10th & E St NW,True,0.23509316479001305,10th & E St NW,10,5,0,15,38.89591400000001,-77.026064,2020-08-18 12:55:50,True,True
7,Armenian Genocide Museum and Memorial,1334 G STREET NW,-77.03108204,38.89804146,240658,POINT(-77.03108204 38.89804146),199,10th & E St NW,42.0,15,38.895914000000005,-77.026064,active,POINT(-77.026064 38.895914),10th & E St NW,True,0.30734433977989617,10th & E St NW,10,5,0,15,38.89591400000001,-77.026064,2020-08-18 12:55:50,True,True
8,National Gallery of Art Sculpture Garden,,-77.022906,38.891254,293258,POINT(-77.022906 38.891254),199,10th & E St NW,42.0,15,38.895914000000005,-77.026064,active,POINT(-77.026064 38.895914),10th & E St NW,True,0.36409558262533304,10th & E St NW,10,5,0,15,38.89591400000001,-77.026064,2020-08-18 12:55:50,True,True
9,German-American Heritage Museum,719 6TH STREET NW,-77.0195865,38.89910316,238949,POINT(-77.0195865 38.89910316),199,10th & E St NW,42.0,15,38.895914000000005,-77.026064,active,POINT(-77.026064 38.895914),10th & E St NW,True,0.4122517945514752,10th & E St NW,10,5,0,15,38.89591400000001,-77.026064,2020-08-18 12:55:50,True,True
10,National Gallery of Art - West Building,,-77.019922,38.891299,293249,POINT(-77.019922 38.891299),199,10th & E St NW,42.0,15,38.895914000000005,-77.026064,active,POINT(-77.026064 38.895914),10th & E St NW,True,0.4591950127418537,10th & E St NW,10,5,0,15,38.89591400000001,-77.026064,2020-08-18 12:55:50,True,True
