,station_id,num_bikes_available,num_docks_available,num_ebikes_available,num_bikes_disabled,num_docks_disabled,last_reported,is_renting,is_returning,last_updated_date
0,1,14,1,0,0,0,1596097218,1,1,2020-07-30 08:29:15
1,2,10,1,0,0,0,1596114978,1,1,2020-07-30 08:29:15
2,3,14,3,1,0,0,1596115375,1,1,2020-07-30 08:29:15
3,4,10,1,2,0,0,1596072959,1,1,2020-07-30 08:29:15
4,5,7,1,0,2,0,1596109383,1,1,2020-07-30 08:29:15
5,6,18,1,0,0,0,1596105825,1,1,2020-07-30 08:29:15
6,7,14,1,1,0,0,1596109826,1,1,2020-07-30 08:29:15
7,8,9,10,0,0,0,1596111289,1,1,2020-07-30 08:29:15
8,10,3,8,1,0,0,1596113535,1,1,2020-07-30 08:29:15
9,11,4,7,0,0,0,1596114579,1,1,2020-07-30 08:29:15
10,12,8,9,0,0,0,1596111095,1,1,2020-07-30 08:29:15
11,13,7,4,0,0,0,1596109081,1,1,2020-07-30 08:29:15
12,14,1,14,0,0,0,1596113683,1,1,2020-07-30 08:29:15
13,15,22,9,0,0,0,1596114843,1,1,2020-07-30 08:29:15
14,16,17,8,0,2,0,1596115091,1,1,2020-07-30 08:29:15
15,17,27,3,2,3,0,1596115293,1,1,2020-07-30 08:29:15
16,18,5,10,0,0,0,1596115476,1,1,2020-07-30 08:29:15
17,19,4,15,0,0,0,1596112569,1,1,2020-07-30 08:29:15
18,20,11,12,0,0,0,1596115102,1,1,2020-07-30 08:29:15
19,21,0,19,0,0,0,1596113396,1,1,2020-07-30 08:29:15
20,22,14,7,1,1,0,1596115374,1,1,2020-07-30 08:29:15
21,23,9,9,2,1,0,1596114590,1,1,2020-07-30 08:29:15
22,24,8,11,0,0,0,1596114955,1,1,2020-07-30 08:29:15
23,25,8,15,0,0,0,1596110769,1,1,2020-07-30 08:29:15
24,26,8,7,0,0,0,1596115391,1,1,2020-07-30 08:29:15
25,27,23,11,0,1,0,1596110999,1,1,2020-07-30 08:29:15
26,28,5,14,1,0,0,1596115447,1,1,2020-07-30 08:29:15
27,29,11,8,3,0,0,1596115531,1,1,2020-07-30 08:29:15
28,30,1,10,0,0,0,1596096018,1,1,2020-07-30 08:29:15
29,31,12,6,0,1,0,1596115508,1,1,2020-07-30 08:29:15
30,32,9,6,0,0,0,1596113920,1,1,2020-07-30 08:29:15
31,33,5,14,1,0,0,1596114709,1,1,2020-07-30 08:29:15
32,34,0,10,0,1,0,1596098420,1,1,2020-07-30 08:29:15
33,35,0,10,0,0,0,1596115080,1,1,2020-07-30 08:29:15
34,36,6,4,0,0,0,1596107888,1,1,2020-07-30 08:29:15
35,37,15,0,0,0,0,1596096918,1,1,2020-07-30 08:29:15
36,38,10,1,0,0,0,1596097219,1,1,2020-07-30 08:29:15
37,39,11,0,1,0,0,1596097520,1,1,2020-07-30 08:29:15
38,40,11,0,0,0,0,1596096619,1,1,2020-07-30 08:29:15
39,41,11,0,0,0,0,1596110810,1,1,2020-07-30 08:29:15
40,42,11,4,0,0,0,1596115105,1,1,2020-07-30 08:29:15
41,43,4,11,0,0,0,1596113718,1,1,2020-07-30 08:29:15
42,44,4,7,0,0,0,1596114785,1,1,2020-07-30 08:29:15
43,45,30,9,0,0,0,1596114290,1,1,2020-07-30 08:29:15
44,46,8,7,0,0,0,1596115650,1,1,2020-07-30 08:29:15
45,47,8,7,0,0,0,1596115751,1,1,2020-07-30 08:29:15
46,48,10,5,1,0,0,1596106486,1,1,2020-07-30 08:29:15
47,49,15,2,0,0,0,1596115717,1,1,2020-07-30 08:29:15
48,51,28,17,1,0,0,1596115711,1,1,2020-07-30 08:29:15
49,52,9,6,1,0,0,1596115649,1,1,2020-07-30 08:29:15
50,53,12,7,0,0,0,1596115733,1,1,2020-07-30 08:29:15
51,54,14,8,0,1,0,1596113929,1,1,2020-07-30 08:29:15
52,55,3,10,0,2,0,1596114991,1,1,2020-07-30 08:29:15
53,56,4,7,0,0,0,1596115625,1,1,2020-07-30 08:29:15
54,57,8,7,1,0,0,1596115127,1,1,2020-07-30 08:29:15
55,58,7,8,0,0,0,1596112731,1,1,2020-07-30 08:29:15
56,59,5,13,0,1,0,1596115543,1,1,2020-07-30 08:29:15
57,60,2,12,1,0,0,1596114949,1,1,2020-07-30 08:29:15
58,61,9,5,0,1,0,1596114668,1,1,2020-07-30 08:29:15
59,62,10,1,0,0,0,1596115689,1,1,2020-07-30 08:29:15
60,63,4,11,0,0,0,1596114062,1,1,2020-07-30 08:29:15
61,64,9,10,1,0,0,1596114276,1,1,2020-07-30 08:29:15
62,65,2,9,1,0,0,1596098722,1,1,2020-07-30 08:29:15
63,66,1,10,0,0,0,1596115697,1,1,2020-07-30 08:29:15
64,67,5,6,0,0,0,1596114940,1,1,2020-07-30 08:29:15
65,68,2,13,0,0,0,1596113157,1,1,2020-07-30 08:29:15
66,69,9,14,1,0,0,1596115145,1,1,2020-07-30 08:29:15
67,70,4,7,0,0,0,1596098721,1,1,2020-07-30 08:29:15
68,71,32,6,0,1,0,1596112980,1,1,2020-07-30 08:29:15
69,72,7,11,0,0,0,1596114858,1,1,2020-07-30 08:29:15
70,73,4,7,0,0,0,1596073078,1,1,2020-07-30 08:29:15
71,74,14,1,0,0,0,1596113111,1,1,2020-07-30 08:29:15
72,75,14,1,0,0,0,1596109382,1,1,2020-07-30 08:29:15
73,76,21,10,0,0,0,1596111082,1,1,2020-07-30 08:29:15
74,77,8,11,0,0,0,1596113218,1,1,2020-07-30 08:29:15
75,78,15,3,0,1,0,1596114830,1,1,2020-07-30 08:29:15
76,79,18,9,0,0,0,1596115114,1,1,2020-07-30 08:29:15
77,80,1,14,1,0,0,1596113622,1,1,2020-07-30 08:29:15
78,81,20,7,0,0,0,1596114072,1,1,2020-07-30 08:29:15
79,82,30,1,1,0,0,1596114186,1,1,2020-07-30 08:29:15
80,84,2,21,0,0,0,1596113655,1,1,2020-07-30 08:29:15
81,85,8,7,0,0,0,1596113719,1,1,2020-07-30 08:29:15
82,86,5,14,0,0,0,1596114725,1,1,2020-07-30 08:29:15
83,87,17,5,0,1,0,1596113036,1,1,2020-07-30 08:29:15
84,88,11,8,0,0,0,1596115651,1,1,2020-07-30 08:29:15
85,89,1,22,0,0,0,1596113639,1,1,2020-07-30 08:29:15
86,90,2,9,0,0,0,1596115292,1,1,2020-07-30 08:29:15
87,91,20,2,1,1,0,1596113822,1,1,2020-07-30 08:29:15
88,92,31,2,1,0,0,1596114033,1,1,2020-07-30 08:29:15
89,93,4,11,2,0,0,1596112685,1,1,2020-07-30 08:29:15
90,94,8,15,0,0,0,1596114570,1,1,2020-07-30 08:29:15
91,95,19,4,0,0,0,1596115349,1,1,2020-07-30 08:29:15
92,96,10,9,0,0,0,1596112097,1,1,2020-07-30 08:29:15
93,97,14,1,0,0,0,1596111059,1,1,2020-07-30 08:29:15
94,98,9,2,0,0,0,1596113713,1,1,2020-07-30 08:29:15
95,99,3,21,1,1,0,1596114513,1,1,2020-07-30 08:29:15
96,100,2,9,0,0,0,1596098421,1,1,2020-07-30 08:29:15
97,101,10,21,0,0,0,1596115040,1,1,2020-07-30 08:29:15
98,102,0,22,0,1,0,1596115248,1,1,2020-07-30 08:29:15
99,103,24,15,1,0,0,1596115693,1,1,2020-07-30 08:29:15
100,104,11,13,0,1,0,1596114689,1,1,2020-07-30 08:29:15
101,105,11,15,1,1,0,1596114901,1,1,2020-07-30 08:29:15
102,107,19,0,1,0,0,1596114669,1,1,2020-07-30 08:29:15
103,108,2,13,0,0,0,1596114797,1,1,2020-07-30 08:29:15
104,109,27,8,0,0,0,1596098421,1,1,2020-07-30 08:29:15
105,110,1,22,0,0,0,1596112435,0,0,2020-07-30 08:29:15
106,111,5,14,0,0,0,1596111837,1,1,2020-07-30 08:29:15
